xbegin,ybegin,zbegin,xdif,ydif,zdif,number
49,328,325,50490,-277046,-329028,4
358,1,353,-16167,1516,-25607,3
309,46,42,-3253,235803,-283279,1
286,265,272,-160398,-48648,48287,1
317,239,47,-163744,-174865,281738,3
0,358,131,-143,-6042,-240521,3
273,53,108,25738,-919149,-2676430,2
310,88,89,160370,-4609,991,5
289,242,236,-129082,-415814,355272,1
0,357,107,-3953,-6950,-320559,3
63,100,305,68973,-21159,-59618,1
42,270,270,-160306,-1210,-6204,5
339,234,20,26849,29082,6319,3
0,359,4,-8498,-206,-242120,3
9,26,80,-75304,19955,-1156,1
77,271,271,-398825,-1077,1460,5
46,279,281,-72772,-165459,-191481,3
0,359,4,-11225,489,-322285,3
0,61,263,-19438,-842,-85810,4
274,266,271,236582,1797770,1797851,2
359,358,99,-101,-1260,-80202,6
8,97,181,-56038,-10291,62481,4
350,88,89,279524,-7752,-1494,6
353,269,228,-45551,9759,-71898,1
359,357,91,12808,6324,-599822,6
0,83,323,119963,5647,-55340,3
8,271,270,-160042,-3844,-10361,5
11,147,34,-67661,-37512,92936,1
0,358,137,-1939,-5020,-240528,1
0,105,87,-16397,644,79421,4
312,88,90,160362,-2708,-1299,1
297,253,220,-167583,1691078,1748313,3
359,357,129,-3902,-5975,-320644,1
36,96,311,125929,-32322,-112067,3
48,270,270,-320410,-3445,-17149,5
302,180,52,-8679,89649,110915,4
359,357,119,-2863,-4565,-240469,1
294,44,98,8760,69510,-76406,3
309,88,90,561103,14245,4459,6
289,256,208,-99899,1360888,1454908,3
0,359,116,1755,3510,-160307,6
49,101,299,273451,-453213,-660364,2
50,270,271,-160209,-9713,-10915,6
299,189,71,7929,273351,353685,4
359,358,98,17031,1184,-300864,6
30,158,184,2533,-36665,70335,4
6,89,87,16726,-14193,-187254,3
354,243,266,-143511,-14829,63037,1
0,359,85,-7007,539,-882,1
324,86,6,109963,95817,-127164,2
342,271,267,-44906,-2271,7857,2
300,290,358,-136837,-588018,677157,4
5,24,226,-120201,16263,-203045,6
5,24,226,-83533,8472,-136564,6
323,162,100,19969,-11864,18422,4
2,259,266,-91375,-10438,53211,1
65,229,227,-74359,192840,218207,2
9,6,264,-154380,-2775,37224,2
312,157,274,12030,-44995,61455,3
351,95,83,416309,5215,171750,1
338,163,33,291402,-14654,226158,1
359,7,190,-1325,80265,691716,6
0,313,102,-97945,15986,-173114,3
70,304,284,-438458,181627,238211,2
