xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3027,1013,3556,-3204,-443,-8568,3,2
3130,1027,3531,-3201,-443,-8559,4,2
3234,1034,3513,-3198,-442,-8550,5,2
3019,3209,2207,-1033,-209,-19025,0,2
2930,8,1761,-1032,-209,-19006,1,2
3006,428,1293,-1031,-209,-18987,2,2
3172,606,1064,-1029,-209,-18968,3,2
3363,674,939,-1028,-208,-18949,4,2
3561,694,846,-1027,-208,-18930,5,2
3569,767,1009,-1664,-405,-8890,0,4
72,753,951,-2786,-864,-9924,1,4
166,732,869,-1361,-68,-4392,3,4
209,721,838,-1360,-68,-4388,4,4
252,707,804,-1359,-68,-4383,5,4
18,85,605,-992,-240,-228,0,1
5,85,604,-991,-240,-228,1,1
3595,85,602,-845,-17,-40,2,1
3035,428,200,-2878,-3296,-20374,1,4
3199,588,3540,-2875,-3292,-20353,2,4
3388,634,3376,-2873,-3289,-20333,3,4
3582,624,3239,-2870,-3286,-20313,4,4
166,566,3093,-2867,-3282,-20292,5,4
3599,3586,3393,-190,-455,-3094,0,6
3597,3585,3362,-76,-71,-2758,1,6
644,2702,2693,-40,-369,-4565,0,2
617,2707,2698,-40,-368,-4561,1,2
565,2703,2698,-40,-368,-4556,2,2
513,2699,2699,-40,-368,-4552,3,2
461,2696,2700,-40,-367,-4547,4,2
409,2692,2701,-40,-367,-4542,5,2
3599,3586,3393,-190,-455,-3093,0,6
3597,3585,3362,-76,-71,-2758,1,6
3468,2981,3512,-7012,-301,-3641,0,3
3404,2965,3574,-6297,-331,-3354,1,3
3338,2941,27,-6291,-331,-3350,2,3
3283,2913,75,-5294,-312,-3035,3,3
3230,2879,130,-5288,-312,-3032,4,3
3180,2835,193,-5283,-312,-3029,5,3
51,3577,941,-5398,-225,-10739,0,1
3577,3571,815,-5970,-205,-11305,1,1
3572,3568,752,-524,-583,-6059,2,1
3566,3570,689,-524,-583,-6053,3,1
3556,3568,620,-523,-582,-6047,4,1
3546,3567,551,-523,-582,-6041,5,1
3558,873,952,-5403,-242,-10721,0,3
84,868,876,-6013,-186,-11294,1,3
2786,1015,919,-12745,-791,-3669,0,2
2841,1345,575,-7348,-433,-1375,1,2
2911,1458,455,-6986,-257,-1467,2,2
2988,1513,390,-6979,-257,-1466,3,2
3067,1544,351,-6972,-256,-1465,4,2
3146,1562,323,-6965,-256,-1463,5,2
51,3577,941,-5399,-226,-10738,0,1
3577,3571,815,-5972,-205,-11305,1,1
3572,3568,752,-527,-582,-6058,2,1
3566,3570,689,-526,-582,-6052,3,1
3556,3568,620,-526,-581,-6046,4,1
3546,3567,551,-525,-581,-6040,5,1
39,2690,2646,-5596,-272,-10778,0,6
3512,2686,2722,-6382,-71,-11188,1,6
2808,3557,1370,-1240,-490,-9822,1,4
2839,478,831,-1366,-614,-9959,2,4
2892,619,673,-745,-537,-5916,3,4
2945,694,586,-722,-413,-5581,4,4
3004,743,526,-721,-413,-5576,5,4
375,868,1834,-2218,-471,-1222,0,5
387,847,1803,-2006,-133,-1187,1,5
397,832,1781,-1336,-31,-1011,2,5
406,821,1763,-1102,-10,-943,3,5
415,809,1746,-1009,-7,-912,4,5
423,798,1730,-927,-11,-894,5,5
247,2700,2700,-589,-69,-23014,0,6
3584,2701,2706,-588,-69,-22991,1,6
3321,2698,2713,-588,-69,-22968,2,6
3058,2689,2726,-587,-69,-22945,3,6
2796,2624,2793,-586,-69,-22922,4,6
2867,966,854,-586,-69,-22899,5,6
84,3181,2986,-684,-451,-7287,0,1
22,3171,2929,-683,-450,-7280,1,1
3559,3166,2874,-683,-450,-7272,2,1
