xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3598,12,903,-24,-3,222,160,1
3538,2503,0,-290,-26,291,87,3
3583,2503,0,-355,-7,995,92,3
3596,2503,0,-391,-14,1087,93,3
9,2503,0,-132,-3,347,95,3
12,2503,0,-59,-4,215,96,3
13,2503,0,-21,-1,82,97,3
2709,764,904,-193,-2,850,214,2
2700,1669,0,-183,-7,768,215,2
2702,2378,2891,-98,-13,195,216,2
16,351,835,-123,-7,339,69,1
12,351,839,-153,-6,475,70,1
1,351,850,-56,-2,708,72,1
3151,1705,3595,-4967,-2,180,207,5
3207,1713,3582,-4924,-2,69,208,5
3262,1720,3571,-4919,-2,68,209,5
3318,1725,3562,-4914,-2,68,210,5
3374,1729,3553,-4909,-2,68,211,5
3429,1731,3545,-4904,-2,68,212,5
3485,1733,3537,-4899,-2,68,213,5
3541,1734,3530,-4895,-2,68,214,5
3596,1735,3523,-4890,-2,68,215,5
52,1734,3516,-4885,-2,68,216,5
701,1985,226,-2431,-7,128,240,5
729,2008,251,-2505,-21,176,241,5
757,2039,284,-2586,-36,224,242,5
786,2086,333,-2677,-52,270,243,5
815,2167,416,-2776,-68,315,244,5
842,2331,581,-2886,-81,354,245,5
860,2701,954,-3053,-103,571,246,5
872,3178,1435,-1761,-174,1966,247,5
867,3553,1811,-1008,-19,1230,248,5
862,92,1950,-381,-47,732,249,5
858,178,2037,-236,-16,601,250,5
898,2814,1074,-28,-1,104,265,5
3566,2642,0,-66,-2,672,105,3
3575,2642,0,-77,-6,808,106,3
3586,2642,0,-96,-2,949,107,3
3597,2642,0,-85,-1,919,108,3
0,3593,1742,-10,-3,1076,159,4
0,3593,1771,-14,-3,1341,161,4
3598,241,3219,-1357,-6,297,131,3
3586,241,3216,-1031,-41,239,132,3
3578,240,3215,-729,-1,167,133,3
3571,240,3213,-644,-1,145,134,3
3565,241,3212,-547,-1,120,135,3
3560,241,3211,-449,-2,95,136,3
3556,241,3210,-356,-3,71,137,3
3553,241,3209,-263,-2,47,138,3
3551,241,3209,-169,-2,22,139,3
0,240,3236,-20,-2,388,157,3
693,2645,2700,-56,-1,620,235,5
710,2645,2700,-74,-1,792,237,5
720,2645,2700,-84,-4,882,238,5
731,2645,2700,-94,-3,976,239,5
744,2645,2700,-102,-4,1072,240,5
757,2645,2700,-112,-5,1174,241,5
772,2645,2700,-122,-5,1278,242,5
788,2644,2700,-134,-5,1387,243,5
805,2645,2700,-144,-6,1499,244,5
824,2645,2700,-157,-5,1620,245,5
844,2645,2700,-166,-9,1739,246,5
865,2645,2701,-182,-4,1872,247,5
888,2645,2701,-190,-17,1998,248,5
898,1078,1134,-50,-11,1031,249,5
3586,7,782,-1233,-48,1469,129,1
3564,5,821,-882,-7,1763,131,1
3546,2,864,-763,-13,1907,133,1
3538,3599,887,-698,-12,1988,134,1
3536,3595,903,-152,-113,1377,135,1
0,3575,1699,-77,-2,1839,208,4
0,3575,1745,-87,-6,2076,210,4
0,3575,1797,-99,-20,2293,212,4
3598,3575,1807,-167,-14,827,213,4
48,1032,328,-2148,-4,396,98,3
49,1029,303,-2159,-18,461,99,3
48,1027,277,-2178,-27,527,100,3
47,1024,251,-2207,-43,595,101,3
45,1021,224,-2242,-59,665,102,3
43,1018,197,-2287,-73,736,103,3
39,1015,168,-2341,-84,807,104,3
35,1012,139,-2407,-91,878,105,3
29,1009,109,-2487,-91,947,106,3
24,1007,78,-2581,-80,1011,107,3
17,1005,46,-2680,-75,1073,108,3
10,1003,12,-2790,-79,1135,109,3
3592,1002,3586,-1878,-44,2026,110,3
3593,1001,3579,-670,-33,181,111,3
2894,1127,311,-557,-59,89,232,2
2895,1146,291,-554,-55,194,233,2
2894,1165,270,-552,-49,302,234,2
2893,1187,246,-553,-42,410,235,2
2891,1211,220,-557,-34,519,236,2
2888,1238,192,-561,-40,629,237,2
2885,1267,160,-565,-41,740,238,2
2882,1300,124,-573,-37,853,239,2
2878,1338,84,-588,-40,971,240,2
2874,1382,39,-613,-20,1090,241,2
2870,1425,3591,-462,-120,1211,242,2
2708,566,839,-213,-16,174,261,2
862,2343,1,-485,-2,674,194,5
873,2343,2,-568,-3,784,195,5
885,2345,4,-647,-7,895,196,5
897,2357,15,-578,-3,812,197,5
894,519,1777,-97,-1,133,199,5
3151,869,386,-755,-4,73,51,2
3150,878,374,-772,-7,101,52,2
3148,887,361,-792,-11,129,53,2
3146,896,348,-817,-11,158,54,2
3144,906,334,-843,-10,187,55,2
3142,916,320,-873,-10,217,56,2
3139,926,305,-906,-14,248,57,2
3137,938,289,-942,-18,279,58,2
3134,949,272,-980,-22,312,59,2
3131,962,254,-1025,-22,345,60,2
3128,975,236,-1071,-22,379,61,2
3125,990,216,-1120,-22,414,62,2
3123,1005,195,-1177,-26,453,63,2
3120,1021,173,-1233,-30,491,64,2
3117,1038,149,-1297,-35,532,65,2
3115,1057,124,-1361,-37,573,66,2
3113,1076,97,-1435,-41,617,67,2
3111,1097,68,-1506,-40,660,68,2
3110,1120,38,-1594,-39,705,69,2
3110,1143,7,-1610,-39,724,70,2
3109,1156,3589,-879,-13,465,71,2
16,2683,2528,-986,-31,573,45,6
22,2682,2541,-1062,-88,490,46,6
26,2683,2553,-1099,-2,378,47,6
3574,2701,2699,-21,-3,129,64,6
3577,2701,2700,-18,-3,271,65,6
3582,2701,2700,-7,-2,411,66,6
0,91,742,-300,-79,315,71,1
3598,89,747,-40,-118,423,72,1
19,3352,2672,-130,-24,508,92,6
15,3353,2697,-532,-7,645,95,6
0,3114,1742,-232,-1,199,117,4
0,3114,1747,-344,-8,269,118,4
0,3113,1754,-440,-8,363,119,4
0,3113,1762,-534,-7,462,120,4
0,3113,1771,-630,-7,557,121,4
0,3113,1795,-832,-11,741,123,4
3599,3113,1801,-66,-3,20,125,4
2701,1823,2900,-303,-9,50,78,2
893,1613,500,-943,-3,207,248,5
2760,572,900,-964,-3,1506,120,2
2714,569,903,-1103,-12,1723,122,2
