xbegin,ybegin,zbegin,xdif,ydif,zdif,number
78,447,3288,8315,-807,-5554,3,
190,442,3310,8306,-806,-5548,3,
303,443,3333,8298,-805,-5543,3,
415,449,3359,8290,-805,-5537,3,
527,466,3394,8281,-804,-5532,3,
637,504,3449,8273,-803,-5526,3,
743,605,3568,8265,-802,-5521,3,
826,1021,399,8257,-801,-5515,3,
790,1745,1139,8248,-800,-5509,3,
690,1934,1345,8240,-800,-5504,3,
581,1993,1421,8232,-799,-5498,3,
471,2018,1463,8224,-798,-5493,3,
360,2029,1493,8215,-797,-5487,3,
249,2032,1517,8207,-796,-5482,3,
138,2030,1539,8199,-796,-5477,3,
27,2024,1561,8191,-795,-5471,3,
3516,2014,1584,8183,-794,-5466,3,
3407,1998,1610,8174,-793,-5460,3,
3298,1976,1642,8166,-793,-5455,3,
3191,1942,1684,8158,-792,-5449,3,
3087,1889,1745,8150,-791,-5444,3,
2989,1797,1844,8142,-790,-5438,3,
2905,1622,2026,8134,-789,-5433,3,
2861,1295,2360,8126,-789,-5427,3,
2886,931,2730,8117,-788,-5422,3,
2961,717,2952,8109,-787,-5417,3,
3056,607,3068,8101,-786,-5411,3,
3158,546,3138,8093,-785,-5406,3,
3263,507,3184,8085,-785,-5400,3,
3371,482,3219,8077,-784,-5395,3,
3479,465,3246,8069,-783,-5390,3,
3587,453,3270,8061,-782,-5384,3,
96,446,3291,8053,-781,-5379,3,
205,442,3312,8045,-781,-5373,3,
314,443,3335,8037,-780,-5368,3,
423,450,3361,8029,-779,-5363,3,
531,467,3396,8021,-778,-5357,3,
638,504,3450,8013,-778,-5352,3,
741,601,3563,8004,-777,-5347,3,
823,975,353,7996,-776,-5341,3,
50,700,3541,-615,-14,860,3,
37,700,3539,-580,11,986,3,
22,700,3537,-547,29,1112,3,
7,701,3536,-513,43,1243,3,
3592,700,3540,-119,-25,1355,3,
3585,699,3550,567,-41,973,3,
3577,700,3562,759,65,948,3,
3571,699,3575,828,20,882,3,
3566,699,3589,940,8,838,3,
3564,698,3599,734,-30,474,3,
3566,697,3,446,-24,-79,3,
0,697,3599,27,1,87,3,
27,759,899,-5,2,134,1,
23,759,899,-38,7,274,1,
18,759,899,-86,6,412,1,
12,759,899,-133,2,548,1,
4,759,899,-172,0,686,1,
3599,759,899,-85,17,348,1,
3572,2513,2763,-804,43,924,6,
3586,2514,2768,-764,54,1048,6,
0,2514,2770,-559,-11,1128,6,
7,2512,2767,146,-105,651,6,
12,2512,2760,383,16,606,6,
16,2512,2752,497,28,542,6,
18,2512,2744,597,-16,459,6,
20,2511,2735,722,-3,403,6,
21,2511,2724,848,10,349,6,
20,2511,2712,983,15,297,6,
18,2510,2701,954,-3,86,6,
10,2510,2695,719,0,-488,6,
3598,2510,2700,-47,2,160,6,
0,2510,2700,28,5,94,6,
3510,112,1738,1442,-36,-1288,4,
3530,113,1727,1528,-30,-1242,4,
3551,114,1718,1616,-38,-1197,4,
3573,114,1708,1714,-36,-1160,4,
3595,114,1700,1753,0,-1054,4,
7,117,1699,981,157,-235,4,
14,118,1702,743,66,114,4,
21,118,1707,703,-25,274,4,
27,118,1713,619,-25,384,4,
32,118,1719,520,22,444,4,
36,119,1727,435,37,547,4,
38,120,1735,367,25,660,4,
40,121,1744,306,2,777,4,
40,122,1755,239,0,893,4,
40,123,1767,159,25,1001,4,
