xbegin,ybegin,zbegin,xdif,ydif,zdif,number
348,23,77,286540431,33736190,-42332687,1
358,359,254,2369689,-2636413,-34282226,4
17,332,176,-180649681,-11719055,-17745971,5
17,89,91,75804252,-17788543,20002593,5
22,226,315,-122691373,1670684,73616027,6
1,6,177,-10779902,247445,-36846160,4
4,68,33,16448860,-2616500,-24521408,3
272,74,111,21528625,225787506,-225885009,2
346,278,240,-62999267,18124084,-63206634,1
0,6,176,-2098331,-197315,-15460968,4
35,84,328,75685272,-20644378,-34118347,4
82,212,207,18966827,952429809,956428985,3
287,143,103,95729675,-402786636,442727203,4
2,6,170,-10748487,-14910,25732879,4
20,248,225,-235100288,-47891693,12880096,6
280,83,103,-23723144,41734542,-43215560,2
348,279,239,-105022583,38222961,-138187408,5
1,7,171,1489937,-3402962,11399993,4
21,88,332,54080009,23919677,-23901062,5
75,307,301,-221454162,419714050,443475646,3
284,118,129,148231811,-440669784,493541717,2
0,2,14,-14698458,2111678,-240161476,4
9,199,189,-158008079,-11203460,25045166,3
75,95,93,137433090,-1769366455,-1771210327,2
49,328,325,50490188,-277046203,-329028015,4
358,1,353,-16167907,1516602,-25607299,3
309,46,42,-3253479,235803184,-283279266,1
286,265,272,-160398254,-48648986,48287048,1
317,239,47,-163744201,-174865112,281738357,3
0,358,131,-143389,-6042175,-240521163,3
273,53,108,25738220,-919149780,-2147483648,2
310,88,89,160370483,-4609909,991210,5
289,242,236,-129082641,-415814819,355272827,1
0,357,107,-3953832,-6950378,-320559844,3
63,100,305,68973693,-21159210,-59618225,1
42,270,270,-160306720,-1210327,-6204528,5
339,234,20,26849060,29082946,6319351,3
0,359,4,-8498435,-206909,-242120418,3
9,26,80,-75304231,19955730,-1156616,1
77,271,271,-398825950,-1077575,1460266,5
46,279,281,-72772750,-165459594,-191481018,3
0,359,4,-11225430,489807,-322285270,3
0,61,263,-19438571,-842170,-85810699,4
274,266,271,236582031,1797770843,1797851562,2
359,358,99,-101623,-1260986,-80202407,6
8,97,181,-56038174,-10291061,62481079,4
350,88,89,279524421,-7752914,-1494598,6
353,269,228,-45551147,9759521,-71898803,1
359,357,91,12808771,6324768,-599822921,6
0,83,323,119963827,5647506,-55340881,3
8,271,270,-160042209,-3844604,-10361633,5
11,147,34,-67661156,-37512207,92936286,1
0,358,137,-1939554,-5020751,-240528182,1
0,105,87,-16397038,644454,79421997,4
312,88,90,160362243,-2708511,-1299514,1
297,253,220,-167583007,1691078948,1748313751,3
359,357,129,-3902282,-5975952,-320644149,1
36,96,311,125929718,-32322463,-112067260,3
48,270,270,-320410919,-3445434,-17149658,5
302,180,52,-8679199,89649658,110915412,4
359,357,119,-2863464,-4565124,-240469207,1
294,44,98,8760681,69510459,-76406784,3
309,88,90,561103134,14245071,4459533,6
289,256,208,-99899597,1360888671,1454908905,3
0,359,116,1755519,3510742,-160307922,6
49,101,299,273451881,-453213195,-660364990,2
50,270,271,-160209197,-9713745,-10915832,6
299,189,71,7929992,273351440,353685226,4
359,358,98,17031064,1184387,-300864639,6
30,158,184,2533664,-36665954,70335998,4
6,89,87,16726140,-14193649,-187254257,3
354,243,266,-143511047,-14829254,63037719,1
0,359,85,-7007182,539550,-882949,1
324,86,6,109963989,95817718,-127164554,2
342,271,267,-44906311,-2271728,7857971,2
300,290,358,-136837768,-588018188,677157287,4
