xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3436,3300,2717,520,-8,44,78,6
3508,3306,2699,1076,-11,675,85,6
3524,3305,2700,1201,-13,722,86,6
3542,3305,2700,1326,-12,757,87,6
3561,3305,2700,1447,-8,810,88,6
3581,3305,2700,1562,-13,869,89,6
8,3305,2700,523,-5,332,91,6
0,242,1788,434,-3,960,208,4
0,242,1800,426,-10,969,209,4
3599,242,1804,60,-6,297,210,4
38,627,3502,2561,-28,525,61,3
44,630,3533,2558,-28,524,62,3
52,632,3562,2556,-28,524,63,3
59,635,3591,2553,-28,523,64,3
44,642,39,699,-2,1205,67,3
33,643,52,597,-5,1250,68,3
23,643,63,491,-31,1283,69,3
11,643,74,377,-25,1329,70,3
3599,646,3589,245,-1,117,92,3
3599,646,3598,378,-1,166,94,3
0,646,0,118,-6,35,95,3
3526,2835,2668,405,-10,66,150,6
3529,2836,2665,324,-7,176,151,6
2,12,795,75,-1,496,150,1
3599,12,831,14,-5,970,154,1
0,12,890,33,-5,1498,158,1
2785,1304,900,1162,-2,1360,89,2
2740,1303,901,1321,-7,1547,91,2
2704,3106,2697,1120,-29,1326,93,2
2713,3080,2723,458,-7,609,94,2
2724,3096,2707,282,-4,301,96,2
3599,350,859,344,-50,768,73,1
3599,350,870,539,-25,801,74,1
3599,349,883,655,-3,876,75,1
3599,349,909,200,-7,308,78,1
3599,349,911,120,-6,180,79,1
3599,349,912,45,-1,62,80,1
2703,1002,45,66,-2,225,162,2
2700,1047,0,42,-3,211,163,2
2700,1048,0,7,-3,65,164,2
0,3593,1799,4,-30,919,163,4
0,3593,1803,4,-5,272,164,4
6,241,3220,254,-18,140,152,3
7,240,3222,166,-28,199,153,3
0,240,3276,247,-1,565,164,3
0,240,3284,267,-2,606,165,3
0,240,3292,289,-2,649,166,3
0,240,3301,311,-1,696,167,3
0,240,3310,333,-1,745,168,3
0,240,3320,356,-3,797,169,3
0,240,3331,380,-1,853,170,3
0,240,3342,406,-2,911,171,3
0,240,3355,434,-3,973,172,3
0,240,3368,463,-2,1039,173,3
0,240,3382,495,-3,1108,174,3
0,240,3397,528,-4,1183,175,3
0,240,3412,562,-4,1261,176,3
0,240,3429,599,-4,1345,177,3
0,240,3447,638,-5,1431,178,3
0,240,3466,679,-5,1525,179,3
0,240,3487,723,-7,1620,180,3
0,240,3508,768,-5,1727,181,3
0,239,3532,817,-10,1830,182,3
0,239,3556,867,-4,1951,183,3
0,239,3582,921,-17,2060,184,3
0,239,15,365,-9,748,186,3
0,239,23,266,-8,606,187,3
3599,239,0,46,-14,7,202,3
3539,3594,915,349,-2,955,136,1
3546,3593,922,533,-18,760,137,1
3562,3592,937,712,-5,579,139,1
3571,3592,942,796,-20,482,140,1
3581,3591,946,898,-7,395,141,1
0,3591,895,18,-1,100,153,1
0,3591,898,1,-1,242,154,1
0,3575,1799,0,-2,75,224,4
2861,1451,3563,235,-31,1010,243,2
2850,1474,3540,410,-12,959,244,2
2840,1495,3517,503,-18,922,245,2
2790,1597,3413,973,-34,832,249,2
2775,1631,3379,1097,-34,819,250,2
2759,1675,3333,1227,-57,803,251,2
2742,1749,3258,1358,-61,800,252,2
2725,1925,3082,1494,-25,821,253,2
2712,2374,2632,1617,-25,448,254,2
3099,1189,3546,106,-1,128,79,2
3097,1188,3548,200,-2,99,80,2
3095,1184,3552,295,-3,70,81,2
3092,1180,3558,391,-3,43,82,2
3090,1174,3565,487,-3,15,83,2
3067,1143,6,163,-24,351,89,2
3063,1144,4,78,-29,410,90,2
3058,1146,1,40,-25,458,91,2
3052,1147,3599,127,-3,476,92,2
3046,1148,3599,208,-2,482,93,2
2722,2957,1791,260,-12,554,119,2
2700,1149,0,14,-12,68,132,2
2700,1149,0,21,-11,34,133,2
51,1343,899,57,-1,64,154,1
13,1343,899,630,-1,646,160,1
2,1343,899,645,-4,651,161,1
3588,2701,2700,0,-2,551,67,6
3596,2701,2700,3,-5,693,68,6
200,975,899,111,-3,834,43,1
190,975,899,120,-3,921,44,1
178,975,899,132,-3,1010,45,1
165,974,899,145,-5,1103,46,1
151,974,899,157,-4,1200,47,1
136,974,899,171,-5,1302,48,1
120,974,899,185,-5,1407,49,1
103,974,899,199,-5,1518,50,1
84,974,899,215,-7,1631,51,1
